cat,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,longitude,latitude
81,99,,-1,99,4,1,992.253999196281,4899.879,458630,,-121.849687009763,43.323526801495
82,99,,-1,99,4,1,982.253998876251,4898.832,458643,,-121.849563726753,43.3235282811718
83,99,,-1,99,4,1,972.253998556257,4898.531,459653,,-121.849440443737,43.3235297607136
84,99,,-1,99,4,1,1036.39613623256,4902.515,458292,,-121.850178114198,43.323430874257
85,99,,-1,99,4,1,1026.39613591256,4901.349,458299,,-121.850054831397,43.3234323544722
86,99,,-1,99,4,1,1016.39613559257,4900.243,458622,,-121.84993154859,43.3234338345523
87,99,,-1,99,4,1,1080.53827326884,4904.23,458244,,-121.85066921706,43.3233349448753
88,99,,-1,99,4,1,1070.53827294884,4904.228,458245,,-121.850545934469,43.3233364256289
89,99,,-1,99,4,1,1060.53827262885,4902.515,458282,,-121.850422651871,43.3233379062474
90,99,,-1,99,4,1,1050.53827230885,4902.515,458288,,-121.850299369268,43.3233393867306
91,99,,-1,99,4,1,1094.68040934511,4904.23,458236,,-121.850790471187,43.3232434568204
92,99,,-1,99,4,1,1108.82254542138,4904.683,458227,,-121.850911724943,43.3231519686355
93,99,,-1,99,4,1,1122.96468149767,4905.047,458195,,-121.851032978329,43.3230604803208
94,99,,-1,99,4,1,1137.10681757394,4905.867,458146,,-121.851154231345,43.3229689918763
95,99,,-1,99,4,1,1151.24895365024,4907.739,458085,,-121.851275483991,43.3228775033019
96,99,,-1,99,4,1,1161.24895397023,4907.739,458082,,-121.851273454822,43.3227874961488
97,99,,-1,99,4,1,1185.3910903665,4907.739,457921,,-121.851517988172,43.3226945257636
98,99,,-1,99,4,1,1175.3910900465,4907.739,457933,,-121.851394706919,43.3226960074476
99,99,,-1,99,4,1,1199.53322644277,4908.509,457884,,-121.851639239708,43.3226030367997
100,99,,-1,99,4,1,1213.67536251906,4909.18,457262,,-121.851760490873,43.3225115477058
101,99,,-1,99,4,1,1247.81749923532,4910.282,456186,,-121.85212830301,43.3224170939113
102,99,,-1,99,4,1,1237.81749891533,4909.741,457237,,-121.852005022342,43.3224185762643
103,99,,-1,99,4,1,1227.81749859533,4909.343,457254,,-121.851881741669,43.3224200584822
104,99,,-1,99,4,1,1261.95963531162,4911.239,456160,,-121.852249553053,43.322325604292
105,99,,-1,99,4,1,1276.10177138789,4911.394,456136,,-121.852370802726,43.3222341145428
106,99,,-1,99,4,1,1286.10177170788,4911.539,456118,,-121.852368771934,43.3221441074155
107,99,,-1,99,4,1,1296.10177202788,4912.267,456112,,-121.852366741149,43.322054100289
108,99,,-1,99,4,1,1306.10177234787,4913.05,455996,,-121.852364710369,43.3219640931633
109,99,,-1,99,4,1,1316.10177266786,4914.229,455958,,-121.852362679596,43.3218740860384
110,99,,-1,99,4,1,1330.24390874418,4914.229,455956,,-121.852483928183,43.3217825961716
111,99,,-1,99,4,1,1344.38604482045,4914.938,455782,,-121.852605176399,43.321691106175
112,99,,-1,99,4,1,1358.52818089673,4915.546,455758,,-121.852726424246,43.3215996160485
113,99,,-1,99,4,1,1368.52818121672,4916.379,455705,,-121.852724392942,43.3215096089336
114,99,,-1,99,4,1,1382.67031729299,4916.379,455676,,-121.852845640239,43.3214181186803
115,99,,-1,99,4,1,1392.67031761302,4917.123,455672,,-121.852843608762,43.3213281115693
116,99,,-1,99,4,1,1406.81245368929,4918.512,455662,,-121.852964855511,43.3212366211892
117,99,,-1,99,4,1,1420.95458976559,4919.912,455645,,-121.853086101889,43.3211451306793
118,99,,-1,99,4,1,1465.09672680184,4919.912,455234,,-121.853577181372,43.3210491886216
119,99,,-1,99,4,1,1455.09672648184,4919.912,455594,,-121.853453903553,43.3210506725627
